Species,Genus,Family,Delta_Above_Mass,Delta_Below_Mass,Delta_Total_Mass,Delta_Chlorophyll_Content,Delta_RMF,Delta_LMF,Delta_LMA,Delta_SLA,Delta_LAR,MGR
A. colombiana,Acaulospora,Acaulosporaceae,0.088455376,-0.206241417,-0.035814356,0.011270866,-0.182122796,0.132925978,-0.052552559,0.068684771,0.210742181,-3.5814451
A. mellea,Acaulospora,Acaulosporaceae,-0.082634486,-0.025088391,-0.05836806,0.042855601,0.034830144,-0.025414659,-0.128128718,0.16468071,0.135082098,-5.8368153
A. morrowiae,Acaulospora,Acaulosporaceae,-0.211444058,-0.330239897,-0.261538689,-0.00342063,-0.068823301,0.050235631,-0.094086121,0.1096116,0.165355025,-26.1538762
A. spinosa,Acaulospora,Acaulosporaceae,0.145522261,-0.061438214,0.058249771,-0.032927385,-0.100624105,0.073445085,-0.150574026,0.218367339,0.307851989,5.8249667
Am. gerdemannii,Ambispora,Ambisporaceae,0.006144747,-0.149659586,-0.059555875,-0.040229176,-0.083896035,0.061236294,-0.049488678,0.066826983,0.132156861,-5.9555968
Am. leptoticha,Ambispora,Ambisporaceae,-0.40103634,-0.376723256,-0.390783835,-0.006148398,0.024475843,-0.01785769,-0.189670054,0.2828233,0.259916539,-39.0783895
Ar. schenckii,Archaeospora,Archaeosporaceae,-0.289382628,-0.406703094,-0.338855114,0.012243355,-0.10319844,0.075323934,-0.049869999,0.059940196,0.139780419,-33.8855179
Ar. trappei,Archaeospora,Archaeosporaceae,-0.018383105,0.187961313,0.068629601,0.035459516,0.096690754,-0.070562922,-0.086153133,0.101062927,0.023369928,6.8629496
C. claroideum,Claroideoglomus,Clairodeoglomeraceae,-0.18396741,-0.284259124,-0.226259097,0.034229125,-0.070262018,0.051285661,-0.058411867,0.065953316,0.120622771,-22.6259173
C. etunicatum,Claroideoglomus,Clairodeoglomeraceae,-0.105108407,-0.179919937,-0.136655437,-0.070163318,-0.06314564,0.046091854,-0.101095487,0.133742844,0.186000565,-13.6655523
C. luteum,Claroideoglomus,Clairodeoglomeraceae,-0.127224381,-0.204090816,-0.159637938,0.101798662,-0.024208089,0.017673725,-0.096618014,0.128327402,0.148270517,-15.9638021
Ce. pellucida,Cetraspora,Gigasporaceae,-0.261803709,-0.112269526,-0.198747126,-0.01398754,0.110856363,-0.08090153,-0.105912049,0.129237945,0.037882103,-19.8747205
D. eburnea ,Diversispora,Diversisporaceae,-0.168388218,-0.064173217,-0.124442133,-0.042387909,0.047949596,-0.034989742,-0.067838903,0.076197218,0.038542591,-12.444222
D. epigaea,Diversispora,Diversisporaceae,0.080154428,-0.045472343,0.027179284,0.047606578,-0.068688346,0.050137134,-0.096222417,0.129853819,0.186502865,2.7179182
D. spurca ,Diversispora,Diversisporaceae,-0.001508488,-0.199544166,-0.085017509,0.022855293,-0.123483703,0.090128902,-0.096069041,0.108032775,0.207899991,-8.5017599
De. erythropa,Dentiscutata,Gigasporaceae,0.201395991,0.083435117,0.151653454,0.024079173,-0.061507857,0.044896535,-0.128768576,0.162479482,0.21467223,15.165334
De. heterogama,Dentiscutata,Gigasporaceae,-0.144755233,-0.232259007,-0.181654415,0.053129071,-0.052626205,0.038414363,-0.009977224,0.025136066,0.064517282,-18.1654495
E. infrequens,Entrophospora,Clairodeoglomeraceae,0.065350787,-0.218537241,-0.054361032,-0.000346944,-0.160262959,0.116971824,-0.032661689,0.035850323,0.157017003,-5.4361125
F. caledonius,Funneliformis,Glomeraceae,0.001943138,-0.169587704,-0.070389145,-0.077987913,-0.101433519,0.074035827,-0.124581461,0.157739306,0.243454973,-7.0389237
F. mosseae ,Funneliformis,Glomeraceae,-0.060970205,-0.137293633,-0.093154783,-0.048241435,-0.058009165,0.042343056,-0.153248699,0.223731556,0.275549609,-9.3154873
G. microaggregatum,Glomus,Glomeraceae,0.213821845,-0.063787511,0.096757659,0.04468097,-0.146524256,0.106944788,-0.025160519,0.02924968,0.139323926,9.675755
Gi. albida,Gigaspora,Gigasporaceae,-0.056350992,-0.187704176,-0.111740889,0.020230935,-0.071006862,0.051829276,-0.074614288,0.080439847,0.136439616,-11.1740976
Gi. gigantea,Gigaspora,Gigasporaceae,-0.225957933,-0.229746077,-0.227555343,0.054379622,0.015559631,-0.011350295,-0.072383257,0.093933244,0.081518067,-22.7555419
Gi. margarita,Gigaspora,Gigasporaceae,0.31737915,-0.101621716,0.140692038,-0.012325304,-0.211458541,0.154336338,-0.10238956,0.12624475,0.300066788,14.0691925
Gi. rosea,Gigaspora,Gigasporaceae,0.112173587,-0.100663297,0.022423094,0.077550634,-0.117079854,0.085455127,-0.055512443,0.063083982,0.153931332,2.2422993
P. brasilianum,Paraglomus,Paraglomeraceae,-0.15924354,-0.152043947,-0.156207567,0.039102045,0.004448112,-0.003240679,-0.104960781,0.125617031,0.121970604,-15.620765
P. occultum,Paraglomus,Paraglomeraceae,-0.028448217,-0.034953102,-0.031191241,0.023617969,0.007300604,-0.005322537,-0.053412713,0.06109744,0.055450966,-3.1191336
R. clarus ,Rhizophagus,Glomeraceae,0.122528465,-0.088133711,0.033695017,-0.078826839,-0.117347669,0.085650589,0.03161732,-0.031311204,0.051658813,3.3694915
R. intraradices ,Rhizophagus,Glomeraceae,-0.162533238,-0.293936826,-0.21794439,-0.001589636,-0.094070145,0.068661751,-0.017928653,0.024774274,0.095138376,-21.7944467
R. sinuosus,Rhizophagus,Glomeraceae,-0.091668371,-0.150442685,-0.11645272,-0.015515861,-0.035386691,0.025832301,0.163286389,-0.055893581,-0.031503987,-11.6452807
Ra. fulgida ,Racocetra,Gigasporaceae,0.007412169,-0.107874821,-0.041202827,-0.005462562,-0.07292785,0.053231288,-0.073737986,0.085393732,0.143171999,-4.1202921
Ra. gregaria ,Racocetra,Gigasporaceae,0.146314856,-0.029436344,0.072202904,-0.001724009,-0.10249502,0.074810551,0.017323696,-0.009300984,0.064815023,7.2202799
S. calospora,Scutellospora,Gigasporaceae,0.113511625,-0.066592642,0.037564042,0.045642686,-0.090758418,0.066244725,-0.001044592,0.005132904,0.071718934,3.756394
S. dipurpurascens ,Scutellospora,Gigasporaceae,0.08248108,-0.112386407,0.000308043,-0.093374931,-0.128767074,0.093984911,-0.120235408,0.154445007,0.262946922,0.0307945
Sg. constrictum ,Septoglomus,Glomeraceae,-0.043771732,-0.134044356,-0.081838501,0.052486388,-0.062749868,0.045803004,0.009451459,0.011086331,0.057398381,-8.1838592
Sg. viscosum ,Septoglomus,Glomeraceae,-0.262485512,-0.412371797,-0.325690572,-0.003085303,-0.122885397,0.089692236,-0.089396426,0.122560354,0.223246759,-32.5690638
Control,Control,Control ,0,0,0,0,0,0,0,0,0,0
