Replicate,Species,Genus ,Family,Shoot_biomass_g,Above_biomass_g,Below_biomass_g,MRFEL_biomass_g,Biomass_g,MRFEL_area_cm^2,MRFEL_Area_m^2,Chlorophyll_content,RMF_g/g,LMF_g/g,LMA_g/m^2,SLA_m^2/g,MGR_%,LAR_m^2/kg
A_colum_1,A. colombiana,Acaulospora,Acaulosporaceae,1.1045,1.2401,0.5751,0.1356,1.8152,46.497,0.0046497,23.94579949,0.316824592,0.683175408,29.16317182,0.034289823,-28.42748255,23.42596382
A_colum_2,A. colombiana,Acaulospora,Acaulosporaceae,1.2468,1.382,0.9865,0.1352,2.3685,41.44,0.004144,24.21391999,0.416508339,0.583491661,32.62548263,0.030650888,-6.611113061,17.88453755
A_colum_3,A. colombiana,Acaulospora,Acaulosporaceae,1.3829,1.5099,0.5943,0.127,2.1042,48.645,0.0048645,22.53781995,0.28243513,0.71756487,26.10751362,0.03830315,-17.03234288,27.48499485
A_colum_4,A. colombiana,Acaulospora,Acaulosporaceae,1.0916,1.2165,0.6485,0.1249,1.865,41.5,0.00415,23.55222848,0.34772118,0.65227882,30.09638554,0.033226581,-26.46389101,21.67299505
A_colum_5,A. colombiana,Acaulospora,Acaulosporaceae,1.4123,1.5598,0.8963,0.1475,2.4561,37.895,0.0037895,22.96281544,0.364928138,0.635071862,38.92334081,0.025691525,-3.157084563,16.31596462
A_colum_6,A. colombiana,Acaulospora,Acaulosporaceae,1.7089,1.8561,1.0549,0.1472,2.911,42.903,0.0042903,19.88431978,0.36238406,0.63761594,34.30995501,0.02914606,14.7794173,18.58399244
A_colum_7,A. colombiana,Acaulospora,Acaulosporaceae,1.6441,1.7952,0.8419,0.1511,2.6371,42.161,0.0042161,20.78703556,0.319252209,0.680747791,35.83880838,0.027902713,3.979663816,18.99471024
A_colum_8,A. colombiana,Acaulospora,Acaulosporaceae,2.0361,2.2119,1.1937,0.1758,3.4056,48.685,0.0048685,23.44760685,0.350510923,0.649489077,36.10968471,0.027693402,34.28127227,17.9865621
A_mellea_1,A. mellea,Acaulospora,Acaulosporaceae,1.26,1.3883,0.804,0.1283,2.1923,40.25,0.004025,25.81116885,0.366738129,0.633261871,31.8757764,0.031371785,-13.5585996,19.86655527
A_mellea_2,A. mellea,Acaulospora,Acaulosporaceae,0.96,1.1494,1.0129,0.1894,2.1623,86.485,0.0086485,26.38554929,0.468436387,0.531563613,21.8997514,0.045662619,-14.74148608,24.27258673
A_mellea_3,A. mellea,Acaulospora,Acaulosporaceae,0.8429,0.9728,0.7801,0.1299,1.7529,45.272,0.0045272,25.00265495,0.445033944,0.554966056,28.69323202,0.034851424,-30.88394346,19.34135732
A_mellea_4,A. mellea,Acaulospora,Acaulosporaceae,1.56,1.6999,1.0785,0.1399,2.7784,46.915,0.0046915,26.10088459,0.388173049,0.611826951,29.81988703,0.033534668,9.551059097,20.51741368
A_mellea_5,A. mellea,Acaulospora,Acaulosporaceae,1.3251,1.4577,1.04,0.1326,2.4977,43.453,0.0043453,20.81697973,0.416383072,0.583616928,30.51572964,0.032769985,-1.516815323,19.12511798
A_mellea_6,A. mellea,Acaulospora,Acaulosporaceae,1.0436,1.162,1.4024,0.1184,2.5644,36.736,0.0036736,19.93999932,0.546872563,0.453127437,32.22996516,0.031027027,1.113135599,14.05919722
A_mellea_7,A. mellea,Acaulospora,Acaulosporaceae,1.2271,1.3521,0.9994,0.125,2.3515,34.792,0.0034792,20.67729311,0.425005316,0.574994684,35.92779949,0.0278336,-7.281415395,16.00417204
A_mellea_8,A. mellea,Acaulospora,Acaulosporaceae,1.4231,1.5818,1.2238,0.1587,2.8056,50.834,0.0050834,22.26049224,0.436199031,0.563800969,31.2192627,0.032031506,10.62354283,18.05939412
A_morrow_1,A. morrowiae,Acaulospora,Acaulosporaceae,0.85,0.9411,0.8093,0.0911,1.7504,31.06,0.003106,24.75612085,0.462351463,0.537648537,29.3303284,0.034094402,-30.98251733,18.33080536
A_morrow_2,A. morrowiae,Acaulospora,Acaulosporaceae,1.44,1.5927,0.7308,0.1527,2.3235,44.77,0.004477,24.80071948,0.3145255,0.6854745,34.10766138,0.029318926,-8.385442768,20.09737614
A_morrow_3,A. morrowiae,Acaulospora,Acaulosporaceae,0.64,0.7141,0.7168,0.0741,1.4309,23.295,0.0023295,22.3776024,0.500943462,0.499056538,31.80940116,0.031437247,-43.58025826,15.68896365
A_morrow_4,A. morrowiae,Acaulospora,Acaulosporaceae,0.59,0.7014,0.6878,0.1114,1.3892,35.259,0.0035259,25.08303736,0.495105096,0.504894904,31.59477013,0.031650808,-45.22447045,15.98033167
A_morrow_5,A. morrowiae,Acaulospora,Acaulosporaceae,1.2946,1.4638,0.6924,0.1692,2.1562,57.55,0.005755,20.05301626,0.32112049,0.67887951,29.40052129,0.034013002,-14.98200633,23.09073013
A_morrow_6,A. morrowiae,Acaulospora,Acaulosporaceae,0.9571,1.1118,0.758,0.1547,1.8698,44.759,0.0044759,21.05246414,0.405390951,0.594609049,34.56288121,0.028932773,-26.27462917,17.20368864
A_morrow_7,A. morrowiae,Acaulospora,Acaulosporaceae,1.3774,1.5423,0.8637,0.1649,2.406,47.913,0.0047913,21.73515889,0.358977556,0.641022444,34.41654666,0.029055791,-5.132504971,18.62541416
A_morrow_8,A. morrowiae,Acaulospora,Acaulosporaceae,1.0423,1.1854,0.4715,0.1431,1.6569,54.173,0.0054173,18.83908588,0.284567566,0.715432434,26.41537297,0.037856744,-34.66918017,27.0839425
A_spinosa_1,A. spinosa,Acaulospora,Acaulosporaceae,0.9883,1.1599,0.7072,0.1716,1.8671,66.049,0.0066049,24.877774,0.378769214,0.621230786,25.98071129,0.038490093,-26.38108896,23.91123073
A_spinosa_2,A. spinosa,Acaulospora,Acaulosporaceae,1.8134,2.0036,0.919,0.1902,2.9226,85.502,0.0085502,17.11624202,0.314446041,0.685553959,22.24509368,0.044953733,15.23680007,30.81820963
A_spinosa_3,A. spinosa,Acaulospora,Acaulosporaceae,1.5944,1.8417,1.248,0.2473,3.0897,104.078,0.0104078,22.81186357,0.403922711,0.596077289,23.76102538,0.042085726,21.82547772,25.08634546
A_spinosa_4,A. spinosa,Acaulospora,Acaulosporaceae,1.8988,2.0924,1.1973,0.1936,3.2897,63.119,0.0063119,21.41857478,0.36395416,0.63604584,30.67222231,0.032602789,29.71138753,20.73686832
A_spinosa_5,A. spinosa,Acaulospora,Acaulosporaceae,1.33,1.5185,0.8157,0.1885,2.3342,50.324,0.0050324,21.25406126,0.349455916,0.650544084,37.45727685,0.026697082,-7.963546593,17.36762876
A_spinosa_6,A. spinosa,Acaulospora,Acaulosporaceae,0.86,0.9469,1.0649,0.0869,2.0118,24.969,0.0024969,21.45235349,0.529326971,0.470673029,34.80315591,0.028733026,-20.67563321,13.52386038
